train__MAE,train__MSE,train__QLIKE,train__norm_MAE,train__norm_MSE,train__norm_QLIKE,train_loss,test__MAE,test__MSE,test__QLIKE,test__norm_MAE,test__norm_MSE,test__norm_QLIKE,test_loss,loss,lr
3.721144991509143e-05,3.6972882922479567e-08,0.339043948202474,0.037211448965687455,0.03697288290794503,0.33904394420439044,0.33904395,3.539521549924911e-05,5.919084406209722e-09,0.3746575560479829,0.0353952143939965,0.005919084424625522,0.37465754605682355,0.37465757,0.29732686281204224,1e-04
3.718619228529242e-05,3.697317575259676e-08,0.3389168043334745,0.03718619131231029,0.036973175732845774,0.3389168010822078,0.33891675,3.536111577108626e-05,5.91931261874211e-09,0.3743613171599739,0.03536111487533504,0.005919312692881667,0.3743613134444376,0.3743613,0.25879696011543274,1e-04
3.7170522078522956e-05,3.6973333333852795e-08,0.3388287284542324,0.03717052117861863,0.036973333367525264,0.3388287261081951,0.33882877,3.5339035780537816e-05,5.919311822300829e-09,0.374163335914076,0.035339034798860997,0.005919311903199476,0.3741633299866061,0.37416333,0.23887741565704346,1e-04
3.714792066145107e-05,3.6973590960290635e-08,0.33871238309983454,0.03714791976461335,0.036973591015504,0.338712382247909,0.33871236,3.530808778355436e-05,5.919457332583695e-09,0.37389259283268605,0.03530808665404856,0.005919457362129928,0.37389258450164436,0.37389258,0.20157842338085175,1e-04
3.712018081646857e-05,3.697393162588893e-08,0.3385755283287058,0.03712017984724738,0.0369739316642277,0.33857552671801844,0.33857554,3.527045206991884e-05,5.919705422275274e-09,0.3735670380024616,0.03527045116966345,0.005919705460670773,0.37356703095837346,0.37356707,0.1895454376935959,1e-04
3.709678081810372e-05,3.697421771600303e-08,0.33845668237318666,0.03709677989109175,0.03697421774387785,0.33845667933944007,0.3384567,3.523800193416223e-05,5.91985450219588e-09,0.3732840591832485,0.03523800099371584,0.005919854576667575,0.37328405647842433,0.373284,0.17271335422992706,1e-04
3.7073455374539884e-05,3.6974514293717776e-08,0.3383400437611238,0.03707345447469342,0.036974514316639166,0.3383400423699398,0.33834004,3.520563574621024e-05,5.9200063298064944e-09,0.37300242753057355,0.03520563472549733,0.005920006374584931,0.37300241859590577,0.37300244,0.4611557126045227,1e-04
3.704806915358331e-05,3.697483462484067e-08,0.3382178251196013,0.037048068246504286,0.03697483466504029,0.33821782422352775,0.33821782,3.51708252118469e-05,5.920260167406688e-09,0.3727039274589369,0.03517082420857319,0.00592026022582158,0.37270392188053186,0.37270394,0.22655892372131348,1e-04
3.701942710414424e-05,3.6975216951253073e-08,0.33808510392834046,0.03701942609282953,0.03697521698058507,0.33808510366029865,0.3380851,3.5131916884140816e-05,5.920631065155674e-09,0.37237479484808994,0.03513191594623523,0.005920631112663448,0.3723747870758563,0.37237477,0.19759680330753326,1e-04
3.6992807311113096e-05,3.697557762353197e-08,0.33796225405973107,0.03699280642350414,0.03697557761302979,0.3379622531973632,0.33796227,3.5095742382016865e-05,5.920995699181947e-09,0.372070225418523,0.03509574121913406,0.005920995751117664,0.3720702194862299,0.37207025,0.2555602192878723,1e-04
3.697119971318615e-05,3.697587045198399e-08,0.33786135325864103,0.03697119873624058,0.036975870429714154,0.3378613496079447,0.33786136,3.506608680587748e-05,5.921269552375448e-09,0.37181990132113263,0.03506608589788417,0.00592126964253227,0.371819897591384,0.3718199,0.42649513483047485,1e-04
3.694454495079672e-05,3.697625812812875e-08,0.33774145486569757,0.03694454407661138,0.03697625822725529,0.3377414548851032,0.33774146,3.502983691674826e-05,5.9216877182801114e-09,0.3715181351689503,0.03502983598496372,0.005921687779868122,0.37151813114230964,0.3715181,0.44442978501319885,1e-04
3.691381094741231e-05,3.6976740451262795e-08,0.33760972870983635,0.03691381002149969,0.036976740482814206,0.33760972788056376,0.3376097,3.498814624263952e-05,5.922283508859594e-09,0.3711770226191421,0.03498814547774003,0.005922283564890592,0.3711770179860519,0.37117702,0.14171865582466125,1e-04
3.6886235415217545e-05,3.697718176677619e-08,0.33749291369006,0.03688623447842715,0.03697718175370977,0.3374929113793195,0.33749288,3.4950719929331755e-05,5.922839899690646e-09,0.3708725181721228,0.03495071905309858,0.005922839988797213,0.37087251349398026,0.3708725,0.3366084098815918,1e-04
3.686943126925857e-05,3.6977413572544466e-08,0.3374113729924399,0.03686943041228673,0.03697741364212238,0.33741137214645467,0.33741137,3.4926849475753266e-05,5.923011495064615e-09,0.37067037939760844,0.03492684856071498,0.0059230115705717415,0.37067037756409366,0.37067038,0.30178189277648926,1e-04
3.684654512687001e-05,3.6977775599049196e-08,0.33731169438624914,0.03684654423555797,0.03697777559350373,0.33731169216480983,0.3373117,3.489531775640836e-05,5.923457222056843e-09,0.370413639116602,0.0348953169349181,0.005923457311118116,0.3704136337867309,0.37041363,0.34864404797554016,1e-04
3.6824783089353296e-05,3.6978116791057926e-08,0.3372126816027831,0.03682478211692083,0.036978116782025845,0.33721268001219445,0.33721268,3.486473429186669e-05,5.923798943436326e-09,0.37016023150832084,0.03486473296209882,0.005923798954820082,0.3701602223891913,0.37016025,0.2659657895565033,1e-04
3.680250101556126e-05,3.69784881025587e-08,0.33711140127875183,0.03680250003320572,0.03697848816058998,0.33711140063647016,0.3371114,3.483349555974357e-05,5.924120798728281e-09,0.3698970944481385,0.03483349467334715,0.005924120859091012,0.3698970885130268,0.3698971,0.4064858853816986,1e-04
3.677353672447247e-05,3.6979006908151237e-08,0.33698958078152463,0.03677353577836655,0.03697900689231792,0.33698957782899386,0.3369896,3.47937455131612e-05,5.924691163263084e-09,0.3695679403175271,0.034793744690054064,0.0059246912254461775,0.3695679365403956,0.36956793,0.2837246358394623,1e-04
3.6743791555283413e-05,3.697955378756793e-08,0.3368650182098281,0.03674379067866793,0.036979553798202676,0.33686501885024656,0.336865,3.475353195434961e-05,5.925284462879072e-09,0.36922818306806865,0.034753531014942635,0.005925284511132778,0.3692281780297867,0.36922815,0.14216086268424988,1e-04
3.671454328694245e-05,3.698011193082042e-08,0.3367447438531769,0.03671454246914217,0.036980111892672016,0.3367447425185084,0.33674476,3.471377327797022e-05,5.9258999185446365e-09,0.36889418467455454,0.034713772469876954,0.005925899999702094,0.3688941822334855,0.36889416,0.5436035990715027,1e-04
